host_id,event_time,event_type,action,chain_phase,technique,variant,domain,bytes_kb,city,is_abnormal,peer_host
H004564,2026-07-19 10:15:03,upload,上传附件 3MB,,T1567,,docs.company.cn,9653,,,
H001824,2026-07-19 10:16:19,failed_login,密码错误自动重试,,T1110.001,,,,,,
H002479,2026-07-19 10:17:17,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H007500,2026-07-19 10:19:33,login,登录办公终端,,T1078,,,,,,
H005767,2026-07-19 10:19:58,failed_login,密码错误自动重试,,T1110.001,,,,,,
H006049,2026-07-19 10:20:11,upload,上传附件 3MB,,T1567,,docs.company.cn,14687,,,
H008981,2026-07-19 10:21:20,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H009979,2026-07-19 10:23:11,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H007030,2026-07-19 10:23:14,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H009903,2026-07-19 10:27:01,login,登录办公终端,,T1078,,,,天津市,,
H006747,2026-07-19 10:28:16,login,登录办公终端,,T1078,,,,,,
H007512,2026-07-19 10:29:36,download,下载文档/更新包 16MB,,T1204.002,,,27903,,,
H004360,2026-07-19 10:29:58,download,下载文档/更新包 26MB,,T1204.002,,,12445,,,
H006311,2026-07-19 10:30:26,email_open,阅读邮件（内部往来 2）,,,,mail.company.cn,,,,
H001547,2026-07-19 10:34:15,dns_query,域名解析,,T1071.001,,oa.company.cn,,,,
H009170,2026-07-19 10:37:59,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H009698,2026-07-19 10:39:22,login,登录办公终端,,T1078,,,,,,
H009903,2026-07-19 10:40:21,failed_login,密码错误自动重试,,T1110.001,,,,,,
H005614,2026-07-19 10:40:42,login,登录办公终端,,T1078,,,,西安市,,
H000438,2026-07-19 10:41:23,email_open,阅读邮件（内部往来 2）,,,,oa.company.cn,,,,
H008981,2026-07-19 10:42:07,login,登录办公终端,,T1078,,,,,,
H000438,2026-07-19 10:45:34,email_open,阅读邮件（内部往来 3）,,,,npm.company.cn,,,,
H005988,2026-07-19 10:46:03,email_open,阅读邮件（内部往来 2）,,,,mail.company.cn,,,,
H001177,2026-07-19 10:47:54,download,下载文档/更新包 26MB,,T1204.002,,,11334,,,
H004953,2026-07-19 10:51:04,login,登录办公终端,,T1078,,,,南京市,,
H004394,2026-07-19 10:51:26,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H001402,2026-07-19 10:52:22,dns_query,域名解析,,T1071.001,,taobao.com,,,,
H004902,2026-07-19 10:52:55,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H002479,2026-07-19 10:53:14,failed_login,密码错误自动重试,,T1110.001,,,,,,
H001419,2026-07-19 10:53:40,login,登录办公终端,,T1078,,,,,,
H000559,2026-07-19 10:54:13,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H002223,2026-07-19 10:55:17,download,下载文档/更新包 3MB,,T1204.002,,,28854,,,
H001824,2026-07-19 10:57:35,email_open,阅读邮件（内部往来 1）,,,,oa.company.cn,,,,
H000438,2026-07-19 11:02:04,login,登录办公终端,,T1078,,,,,,
H001547,2026-07-19 11:03:53,web_visit,访问内部 OA/知识库,,T1071,,docs.company.cn,,,,
H008931,2026-07-19 11:07:46,email_open,阅读邮件（内部往来 2）,,,,kb.company.cn,,,,
H004058,2026-07-19 11:17:25,web_visit,访问内部 OA/知识库,,T1071,,docs.company.cn,,,,
H000559,2026-07-19 11:17:29,failed_login,密码错误自动重试,,T1110.001,,,,,,
H001824,2026-07-19 11:20:19,failed_login,密码错误自动重试,,T1110.001,,,,,,
H008164,2026-07-19 11:21:36,login,登录办公终端,,T1078,,,,,,
H004564,2026-07-19 11:23:33,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H002907,2026-07-19 11:23:34,failed_login,密码错误自动重试,,T1110.001,,,,,,
H001547,2026-07-19 11:23:48,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H003973,2026-07-19 11:24:45,dns_query,域名解析,,T1071.001,,qq.com,,,,
H008154,2026-07-19 11:26:43,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H006473,2026-07-19 11:27:19,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H000438,2026-07-19 11:43:30,dns_query,域名解析,,T1071.001,,github.com,,,,
H007030,2026-07-19 11:44:28,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H002907,2026-07-19 11:44:36,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H009903,2026-07-19 11:48:43,dns_query,域名解析,,T1071.001,,jd.com,,,,
H000559,2026-07-19 11:52:59,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H006896,2026-07-19 11:53:06,download,下载文档/更新包 13MB,,T1204.002,,,23146,,,
H006049,2026-07-19 11:54:57,web_visit,访问内部 OA/知识库,,T1071,,docs.company.cn,,,,
H007458,2026-07-19 11:55:45,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H002479,2026-07-19 11:56:08,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H007512,2026-07-19 11:56:12,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H003910,2026-07-19 11:58:25,dns_query,域名解析,,T1071.001,,jd.com,,,,
H004902,2026-07-19 11:59:16,login,登录办公终端,,T1078,,,,,,
H004080,2026-07-19 12:02:27,email_open,阅读邮件（内部往来 2）,,,,kb.company.cn,,,,
H004775,2026-07-19 12:05:52,failed_login,密码错误自动重试,,T1110.001,,,,,,
H006566,2026-07-19 12:07:06,login,登录办公终端,,T1078,,,,,,
H004058,2026-07-19 12:07:17,dns_query,域名解析,,T1071.001,,github.com,,,,
H001402,2026-07-19 12:11:10,email_open,阅读邮件（内部往来 2）,,,,kb.company.cn,,,,
H004080,2026-07-19 12:11:30,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H008931,2026-07-19 12:13:31,upload,上传附件 11MB,,T1567,,docs.company.cn,9078,,,
H009691,2026-07-19 12:15:19,login,登录办公终端,,T1078,,,,东莞市,,
H006750,2026-07-19 12:16:58,web_visit,访问内部 OA/知识库,,T1071,,docs.company.cn,,,,
H003910,2026-07-19 12:26:58,email_open,阅读邮件（内部往来 3）,,,,oa.company.cn,,,,
H000987,2026-07-19 12:30:47,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H000987,2026-07-19 12:34:46,dns_query,域名解析,,T1071.001,,npm.company.cn,,,,
H000805,2026-07-19 12:37:58,email_open,阅读邮件（内部往来 1）,,,,oa.company.cn,,,,
H006113,2026-07-19 12:38:13,download,下载文档/更新包 37MB,,T1204.002,,,25137,,,
H006750,2026-07-19 12:42:36,failed_login,密码错误自动重试,,T1110.001,,,,,,
H006113,2026-07-19 12:50:05,upload,上传附件 1MB,,T1567,,docs.company.cn,8203,,,
H008057,2026-07-19 12:50:53,login,登录办公终端,,T1078,,,,,,
H004080,2026-07-19 12:56:13,email_open,阅读邮件（内部往来 3）,,,,oa.company.cn,,,,
H008057,2026-07-19 12:59:48,download,下载文档/更新包 28MB,,T1204.002,,,20871,,,
H008057,2026-07-19 13:02:20,failed_login,密码错误自动重试,,T1110.001,,,,,,
H001721,2026-07-19 13:03:42,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H007030,2026-07-19 13:04:09,login,登录办公终端,,T1078,,,,西安市,,
H006473,2026-07-19 13:05:13,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H003910,2026-07-19 13:23:16,login,登录办公终端,,T1078,,,,,,
H001402,2026-07-19 13:30:09,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004956,2026-07-19 13:46:34,download,下载文档/更新包 3MB,,T1204.002,,,1470,,,
H008931,2026-07-19 14:08:57,dns_query,域名解析,,T1071.001,,wiki.company.cn,,,,
H008931,2026-07-19 14:21:38,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H009903,2026-07-19 14:24:43,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H007458,2026-07-19 14:32:31,dns_query,域名解析,,T1071.001,,weibo.com,,,,
H004394,2026-07-19 14:33:38,dns_query,域名解析,,T1071.001,,qq.com,,,,
H005988,2026-07-19 14:34:45,login,登录办公终端,,T1078,,,,,,
H003910,2026-07-19 14:37:36,download,下载文档/更新包 27MB,,T1204.002,,,8449,,,
H001547,2026-07-19 14:41:23,failed_login,密码错误自动重试,,T1110.001,,,,,,
H002907,2026-07-19 14:43:33,download,下载文档/更新包 27MB,,T1204.002,,,30909,,,
H001419,2026-07-19 14:47:46,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H008931,2026-07-19 14:54:40,login,登录办公终端,,T1078,,,,,,
H000559,2026-07-19 14:58:07,email_open,阅读邮件（内部往来 2）,,,,wiki.company.cn,,,,
H004146,2026-07-19 15:01:33,login,登录办公终端,,T1078,,,,,,
H006049,2026-07-19 15:04:27,web_visit,访问内部 OA/知识库,,T1071,,docs.company.cn,,,,
H004146,2026-07-19 15:10:04,email_open,阅读邮件（内部往来 2）,,,,wiki.company.cn,,,,
H002907,2026-07-19 15:10:19,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004564,2026-07-19 15:12:42,login,登录办公终端,,T1078,,,,,,
H006896,2026-07-19 15:18:08,login,登录办公终端,,T1078,,,,,,
H009691,2026-07-19 15:19:17,upload,上传附件 3MB,,T1567,,docs.company.cn,11747,,,
H001419,2026-07-19 15:25:22,email_open,阅读邮件（内部往来 2）,,,,wiki.company.cn,,,,
H006566,2026-07-19 15:25:45,failed_login,密码错误自动重试,,T1110.001,,,,,,
H001819,2026-07-19 15:26:30,dns_query,解析来源不明域名（已拦截）,,T1071.001,,update-cdn-svc.cn,,,,
H007030,2026-07-19 15:26:31,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004724,2026-07-19 15:40:16,login,登录办公终端,,T1078,,,,,,
H004360,2026-07-19 15:43:19,web_visit,访问内部 OA/知识库,,T1071,,docs.company.cn,,,,
H001986,2026-07-19 15:44:14,web_visit,访问内部 OA/知识库,,T1071,,docs.company.cn,,,,
H004775,2026-07-19 15:45:44,email_open,阅读邮件（内部往来 4）,,,,docs.company.cn,,,,
H001177,2026-07-19 15:47:46,failed_login,密码错误自动重试,,T1110.001,,,,,,
H009170,2026-07-19 15:50:57,dns_query,域名解析,,T1071.001,,npm.company.cn,,,,
H002223,2026-07-19 15:53:13,dns_query,域名解析,,T1071.001,,npm.company.cn,,,,
H001721,2026-07-19 15:59:08,login,登录办公终端,,T1078,,,,,,
H005767,2026-07-19 15:59:56,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H004775,2026-07-19 16:00:40,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H005614,2026-07-19 16:02:19,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004360,2026-07-19 16:05:40,login,登录办公终端,,T1078,,,,苏州市,,
H000805,2026-07-19 16:06:45,login,登录办公终端,,T1078,,,,,,
H001668,2026-07-19 16:06:57,login,登录办公终端,,T1078,,,,,,
H008981,2026-07-19 16:07:00,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H008931,2026-07-19 16:09:22,dns_query,HTTPS 隧道心跳（伪装正常访问）,persist,T1071.001,evasive,cdn-verify-svc.net,,,,
H008931,2026-07-19 16:11:05,failed_login,密码错误自动重试,,T1110.001,,,,,,
H001819,2026-07-19 16:14:56,persist_create,注册软件更新计划任务,,T1053.005,,,,,,
H006113,2026-07-19 16:15:18,failed_login,密码错误自动重试,,T1110.001,,,,,,
H006566,2026-07-19 16:16:53,email_open,阅读邮件（内部往来 1）,,,,oa.company.cn,,,,
H003752,2026-07-19 16:17:24,email_open,阅读邮件（内部往来 2）,,,,oa.company.cn,,,,
H006750,2026-07-19 16:17:28,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H005614,2026-07-19 16:18:30,dns_query,域名解析,,T1071.001,,baidu.com,,,,
H001177,2026-07-19 16:21:43,dns_query,域名解析,,T1071.001,,github.com,,,,
H008057,2026-07-19 16:22:16,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H001269,2026-07-19 16:26:50,dns_query,域名解析,,T1071.001,,mail.company.cn,,,,
H000805,2026-07-19 16:28:19,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H005988,2026-07-19 16:29:21,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H008981,2026-07-19 16:31:47,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H007500,2026-07-19 16:31:48,dns_query,域名解析,,T1071.001,,taobao.com,,,,
H006113,2026-07-19 16:34:23,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H001721,2026-07-19 16:35:52,email_open,阅读邮件（内部往来 2）,,,,docs.company.cn,,,,
H007500,2026-07-19 16:37:07,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H006049,2026-07-19 16:38:30,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H008154,2026-07-19 16:40:50,dns_query,域名解析,,T1071.001,,baidu.com,,,,
H007458,2026-07-19 16:42:45,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H008164,2026-07-19 16:44:42,email_open,阅读邮件（内部往来 2）,,,,kb.company.cn,,,,
H004953,2026-07-19 16:47:39,email_open,阅读邮件（内部往来 1）,,,,oa.company.cn,,,,
H009979,2026-07-19 16:48:25,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H003973,2026-07-19 16:56:25,email_open,阅读邮件（内部往来 1）,,,,oa.company.cn,,,,
H001419,2026-07-19 16:56:39,smb_connect,访问文件服务器共享目录,,T1021.002,,,,,,FILE-SRV01
H004058,2026-07-19 17:00:31,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H004058,2026-07-19 17:01:21,login,登录办公终端,,T1078,,,,,,
H004394,2026-07-19 17:02:55,login,登录办公终端,,T1078,,,,,,
H005767,2026-07-19 17:04:18,login,登录办公终端,,T1078,,,,,,
H001402,2026-07-19 17:05:08,login,登录办公终端,,T1078,,,,,,
H004146,2026-07-19 17:08:17,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H000117,2026-07-19 17:09:57,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H002907,2026-07-19 17:11:27,email_open,阅读邮件（内部往来 2）,,,,oa.company.cn,,,,
H001402,2026-07-19 17:14:45,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H004360,2026-07-19 17:18:19,dns_query,域名解析,,T1071.001,,npm.company.cn,,,,
H001269,2026-07-19 17:19:24,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H001419,2026-07-19 17:20:50,dns_query,域名解析,,T1071.001,,docs.company.cn,,,,
H009691,2026-07-19 17:21:10,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H009903,2026-07-19 17:24:17,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H006113,2026-07-19 17:26:04,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H001547,2026-07-19 17:27:26,email_open,阅读邮件（内部往来 3）,,,,mail.company.cn,,,,
H003910,2026-07-19 17:29:15,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H005600,2026-07-19 17:29:59,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004775,2026-07-19 17:31:32,failed_login,密码错误自动重试,,T1110.001,,,,,,
H000117,2026-07-19 17:32:59,login,登录办公终端,,T1078,,,,,,
H002894,2026-07-19 17:34:06,failed_login,密码错误自动重试,,T1110.001,,,,,,
H001668,2026-07-19 17:38:38,dns_query,域名解析,,T1071.001,,docs.company.cn,,,,
H001419,2026-07-19 17:38:41,failed_login,密码错误自动重试,,T1110.001,,,,,,
H009698,2026-07-19 17:39:35,download,下载文档/更新包 39MB,,T1204.002,,,19471,,,
H004564,2026-07-19 17:41:31,dns_query,域名解析,,T1071.001,,github.com,,,,
H005614,2026-07-19 17:42:03,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H001269,2026-07-19 17:44:07,login,登录办公终端,,T1078,,,,,,
H004360,2026-07-19 17:45:18,failed_login,密码错误自动重试,,T1110.001,,,,,,
H006750,2026-07-19 17:45:45,login,登录办公终端,,T1078,,,,,,
H003752,2026-07-19 17:48:42,failed_login,密码错误自动重试,,T1110.001,,,,,,
H000438,2026-07-19 17:49:34,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H004080,2026-07-19 17:50:39,dns_query,域名解析,,T1071.001,,bilibili.com,,,,
H004080,2026-07-19 17:52:00,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H002894,2026-07-19 17:54:03,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H004775,2026-07-19 17:54:29,email_open,阅读邮件（内部往来 2）,,,,kb.company.cn,,,,
H001824,2026-07-19 17:55:47,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H006896,2026-07-19 17:56:49,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H002907,2026-07-19 17:57:04,login,登录办公终端,,T1078,,,,,,
H001402,2026-07-19 17:59:14,failed_login,密码错误自动重试,,T1110.001,,,,,,
H008164,2026-07-19 17:59:40,email_open,阅读邮件（内部往来 3）,,,,wiki.company.cn,,,,
H002223,2026-07-19 18:00:38,login,登录办公终端,,T1078,,,,苏州市,,
H006750,2026-07-19 18:01:31,email_open,阅读邮件（内部往来 2）,,,,docs.company.cn,,,,
H003910,2026-07-19 18:04:24,email_open,阅读邮件（内部往来 2）,,,,kb.company.cn,,,,
H004956,2026-07-19 18:06:50,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H008164,2026-07-19 18:11:07,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H004775,2026-07-19 18:12:43,login,登录办公终端,,T1078,,,,,,
H002894,2026-07-19 18:12:53,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H006750,2026-07-19 18:13:27,download,下载文档/更新包 23MB,,T1204.002,,,19630,,,
H003973,2026-07-19 18:18:08,login,登录办公终端,,T1078,,,,,,
H008931,2026-07-19 18:19:26,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H009170,2026-07-19 18:20:18,login,登录办公终端,,T1078,,,,,,
H000117,2026-07-19 18:31:22,email_open,阅读邮件（内部往来 2）,,,,kb.company.cn,,,,
H001986,2026-07-19 18:32:51,download,下载文档/更新包 5MB,,T1204.002,,,26959,,,
H000438,2026-07-19 18:35:45,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H000559,2026-07-19 18:36:59,dns_query,域名解析,,T1071.001,,docs.company.cn,,,,
H007512,2026-07-19 18:37:42,login,登录办公终端,,T1078,,,,,,
H006311,2026-07-19 18:37:47,dns_query,域名解析,,T1071.001,,weibo.com,,,,
H001824,2026-07-19 18:37:51,failed_login,密码错误自动重试,,T1110.001,,,,,,
H002894,2026-07-19 18:41:18,login,登录办公终端,,T1078,,,,,,
H002223,2026-07-19 18:42:17,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H001547,2026-07-19 18:46:22,email_open,阅读邮件（内部往来 2）,,,,mail.company.cn,,,,
H007030,2026-07-19 18:48:34,failed_login,密码错误自动重试,,T1110.001,,,,,,
H001824,2026-07-19 18:49:03,login,登录办公终端,,T1078,,,,,,
H006473,2026-07-19 18:49:11,email_open,阅读邮件（内部往来 2）,,,,oa.company.cn,,,,
H004724,2026-07-19 18:49:16,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H002907,2026-07-19 18:49:40,email_open,阅读邮件（内部往来 3）,,,,docs.company.cn,,,,
H004775,2026-07-19 18:49:44,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H004362,2026-07-19 18:52:50,login,登录办公终端,,T1078,,,,,,
H004956,2026-07-19 18:53:54,failed_login,密码错误自动重试,,T1110.001,,,,,,
H002894,2026-07-19 19:01:58,dns_query,域名解析,,T1071.001,,mail.company.cn,,,,
H004146,2026-07-19 19:02:12,failed_login,密码错误自动重试,,T1110.001,,,,,,
H008057,2026-07-19 19:04:26,dns_query,域名解析,,T1071.001,,npm.company.cn,,,,
H000117,2026-07-19 19:10:03,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H004902,2026-07-19 19:20:13,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H008164,2026-07-19 19:20:37,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H007512,2026-07-19 19:27:27,email_open,阅读邮件（内部往来 2）,,,,kb.company.cn,,,,
H002479,2026-07-19 19:27:35,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H002894,2026-07-19 19:27:45,email_open,阅读邮件（内部往来 2）,,,,wiki.company.cn,,,,
H002479,2026-07-19 19:28:02,login,登录办公终端,,T1078,,,,天津市,,
H001547,2026-07-19 19:28:52,login,登录办公终端,,T1078,,,,南京市,,
H008164,2026-07-19 19:35:38,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H007512,2026-07-19 19:40:14,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H008154,2026-07-19 19:41:36,download,下载文档/更新包 22MB,,T1204.002,,,1796,,,
H004775,2026-07-19 19:50:22,download,下载文档/更新包 45MB,,T1204.002,,,41525,,,
H006311,2026-07-19 19:54:22,login,登录办公终端,,T1078,,,,,,
H009903,2026-07-19 19:58:07,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H000117,2026-07-19 20:02:46,download,下载文档/更新包 13MB,,T1204.002,,,25962,,,
H009691,2026-07-19 20:14:17,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H005600,2026-07-19 20:33:28,login,登录办公终端,,T1078,,,,,,
H000438,2026-07-19 20:42:38,download,下载文档/更新包 9MB,,T1204.002,,,30788,,,
H004956,2026-07-19 21:36:47,login,登录办公终端,,T1078,,,,,,
H001986,2026-07-19 21:59:25,dns_query,域名解析,,T1071.001,,wiki.company.cn,,,,
H004058,2026-07-19 22:00:24,failed_login,密码错误自动重试,,T1110.001,,,,,,
H005614,2026-07-19 22:00:55,upload,外传数据 75MB（疑似误用）,,T1567,,yunpan-free.net,76800,,,
H005614,2026-07-19 22:07:55,upload,外传数据 79MB（疑似误用）,,T1567,,box-share.cc,80896,,,
H005614,2026-07-19 22:10:55,upload,外传数据 59MB（疑似误用）,,T1567,,yunpan-free.net,60416,,,
H004775,2026-07-19 23:00:58,failed_login,密码错误自动重试,,T1110.001,,,,,,
H009982,2026-07-20 02:12:35,dns_query,域名解析,,T1071.001,,bilibili.com,,,,
H007458,2026-07-20 05:55:05,failed_login,密码错误自动重试,,T1110.001,,,,,,
H008871,2026-07-20 07:00:18,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H000438,2026-07-20 07:14:20,email_open,阅读邮件（内部往来 2）,,,,mail.company.cn,,,,
H004724,2026-07-20 07:23:49,login,登录办公终端,,T1078,,,,,,
H000117,2026-07-20 07:39:16,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H004724,2026-07-20 07:44:45,email_open,阅读邮件（内部往来 3）,,,,wiki.company.cn,,,,
H007458,2026-07-20 07:49:06,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H001235,2026-07-20 07:56:12,email_open,阅读邮件（内部往来 2）,,,,oa.company.cn,,,,
H008871,2026-07-20 07:56:43,login,登录办公终端,,T1078,,,,南京市,,
H000527,2026-07-20 08:07:10,upload,上传附件 4MB,,T1567,,docs.company.cn,14603,,,
H002223,2026-07-20 08:16:02,login,登录办公终端,,T1078,,,,苏州市,,
H006738,2026-07-20 08:16:32,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004058,2026-07-20 08:18:24,failed_login,密码错误自动重试,,T1110.001,,,,,,
H002540,2026-07-20 08:36:27,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H001235,2026-07-20 08:38:15,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004902,2026-07-20 08:39:55,login,登录办公终端,,T1078,,,,,,
H006738,2026-07-20 08:44:51,dns_query,域名解析,,T1071.001,,wiki.company.cn,,,,
H005151,2026-07-20 08:48:03,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H000527,2026-07-20 08:48:19,failed_login,密码错误自动重试,,T1110.001,,,,,,
H008981,2026-07-20 08:52:54,download,下载文档/更新包 16MB,,T1204.002,,,36339,,,
H002223,2026-07-20 08:53:45,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H009698,2026-07-20 08:55:19,download,下载文档/更新包 15MB,,T1204.002,,,28698,,,
H008981,2026-07-20 08:55:26,dns_query,域名解析,,T1071.001,,docs.company.cn,,,,
H006566,2026-07-20 08:55:56,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H004564,2026-07-20 09:05:36,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H001547,2026-07-20 09:06:54,download,下载文档/更新包 3MB,,T1204.002,,,24142,,,
H004950,2026-07-20 09:09:46,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H007458,2026-07-20 09:10:31,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H008154,2026-07-20 09:10:53,login,登录办公终端,,T1078,,,,,,
H000466,2026-07-20 09:12:14,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H001269,2026-07-20 09:13:01,failed_login,密码错误自动重试,,T1110.001,,,,,,
H003043,2026-07-20 09:26:13,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H006896,2026-07-20 09:27:47,download,下载文档/更新包 38MB,,T1204.002,,,25727,,,
H000466,2026-07-20 09:28:33,email_open,阅读邮件（内部往来 1）,,,,oa.company.cn,,,,
H008931,2026-07-20 09:30:35,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H008164,2026-07-20 09:36:21,dns_query,域名解析,,T1071.001,,weibo.com,,,,
H000438,2026-07-20 09:38:34,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H008164,2026-07-20 09:40:00,upload,上传附件 4MB,,T1567,,docs.company.cn,1394,,,
H009500,2026-07-20 09:41:04,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H001668,2026-07-20 09:43:21,login,登录办公终端,,T1078,,,,,,
H000466,2026-07-20 09:44:02,failed_login,密码错误自动重试,,T1110.001,,,,,,
H008164,2026-07-20 09:48:40,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H007458,2026-07-20 09:50:00,login,登录办公终端,,T1078,,,,,,
H000987,2026-07-20 09:50:32,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H009979,2026-07-20 09:50:55,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004902,2026-07-20 09:52:49,email_open,阅读邮件（内部往来 1）,,,,oa.company.cn,,,,
H001235,2026-07-20 09:54:19,download,下载文档/更新包 34MB,,T1204.002,,,41673,,,
H001269,2026-07-20 09:54:34,download,下载文档/更新包 27MB,,T1204.002,,,43520,,,
H005988,2026-07-20 09:54:57,login,登录办公终端,,T1078,,,,,,
H002540,2026-07-20 09:55:19,login,登录办公终端,,T1078,,,,,,
